lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta_re_flat,theta_im_flat,theta_re_f0_980,theta_im_f0_980,theta_re_f0_600,theta_im_f0_600,theta_re_f0_1370,theta_im_f0_1370,theta_re_f0_1500,theta_im_f0_1500,theta_re_f2_1270,theta_im_f2_1270,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,theta.1.5,theta.2.5,theta.1.6,theta.2.6,theta.1.7,theta.2.7
-9241.3,0.862388,0.0900907,5,31,0,-4.70976,-3.68522,-1.49227,4.92739,0.567594,4.99843,2.44667,-1.12764,0.649802,-1.09867,-3.30302,0.889672,-4.70976,-3.68522,-1.49227,4.92739,0.567594,4.99843,2.44667,-1.12764,0.649802,-1.09867,1,0,-3.30302,0.889672
-9242.15,0.945576,0.0900907,5,31,0,-4.5437,-3.15896,-1.75298,4.89294,0.374567,4.99879,2.48961,-1.01714,0.633202,-1.07396,-3.31011,0.808064,-4.5437,-3.15896,-1.75298,4.89294,0.374567,4.99879,2.48961,-1.01714,0.633202,-1.07396,1,0,-3.31011,0.808064
-9241.33,0.839679,0.0900907,6,47,0,-4.24093,-3.65691,-1.8473,4.52379,0.499429,4.99391,2.53389,-1.15013,0.619416,-1.13105,-3.33462,0.664173,-4.24093,-3.65691,-1.8473,4.52379,0.499429,4.99391,2.53389,-1.15013,0.619416,-1.13105,1,0,-3.33462,0.664173
-9240.94,0.969325,0.0900907,5,31,0,-4.69061,-2.36562,-1.35301,4.96749,-0.166516,4.98756,2.55318,-0.750634,0.640614,-1.19049,-3.26852,0.971598,-4.69061,-2.36562,-1.35301,4.96749,-0.166516,4.98756,2.55318,-0.750634,0.640614,-1.19049,1,0,-3.26852,0.971598
-9242.06,0.981203,0.0900907,6,63,0,-4.41385,-3.30713,-1.51953,4.65452,0.836169,4.99889,2.2405,-1.3868,0.611684,-1.00676,-3.31205,0.874927,-4.41385,-3.30713,-1.51953,4.65452,0.836169,4.99889,2.2405,-1.3868,0.611684,-1.00676,1,0,-3.31205,0.874927
-9243.31,0.643317,0.0900907,4,15,0,-4.46544,-3.49316,-1.50049,4.72034,0.662022,4.99785,2.19466,-1.32971,0.575427,-1.02211,-3.30605,0.831733,-4.46544,-3.49316,-1.50049,4.72034,0.662022,4.99785,2.19466,-1.32971,0.575427,-1.02211,1,0,-3.30605,0.831733
-9244.32,0.806109,0.0900907,6,63,0,-4.86927,-0.47137,-0.382986,4.81576,0.0440271,4.99445,2.2845,-1.30055,0.349868,-1.05086,-3.03223,1.27741,-4.86927,-0.47137,-0.382986,4.81576,0.0440271,4.99445,2.2845,-1.30055,0.349868,-1.05086,1,0,-3.03223,1.27741
-9243.86,0.470371,0.0900907,5,31,0,-4.92359,-0.778675,-0.33053,4.68877,0.0649486,4.99436,2.22832,-1.28846,0.334327,-1.02864,-3.01852,1.26696,-4.92359,-0.778675,-0.33053,4.68877,0.0649486,4.99436,2.22832,-1.28846,0.334327,-1.02864,1,0,-3.01852,1.26696
-9246.13,0.523248,0.0900907,5,31,0,-4.98382,-1.03616,0.113071,4.79283,0.592309,4.99482,1.85417,-1.60466,0.303981,-0.941914,-3.11162,1.36144,-4.98382,-1.03616,0.113071,4.79283,0.592309,4.99482,1.85417,-1.60466,0.303981,-0.941914,1,0,-3.11162,1.36144
-9243.2,0.861674,0.0900907,6,63,0,-4.84112,-2.05139,0.130217,4.56317,1.11625,4.99706,2.17313,-1.4446,0.441527,-1.04643,-2.86295,1.46441,-4.84112,-2.05139,0.130217,4.56317,1.11625,4.99706,2.17313,-1.4446,0.441527,-1.04643,1,0,-2.86295,1.46441
-9241.03,0.992579,0.0900907,5,31,0,-4.71456,-2.72392,-0.238542,4.74937,1.2168,4.92726,2.25545,-1.02498,0.468927,-1.10463,-3.02475,1.37521,-4.71456,-2.72392,-0.238542,4.74937,1.2168,4.92726,2.25545,-1.02498,0.468927,-1.10463,1,0,-3.02475,1.37521
-9241.26,0.988899,0.0900907,5,31,0,-4.88704,-4.17736,-0.987129,4.60583,1.17383,4.99334,2.53136,-0.635548,0.730648,-1.08084,-2.92822,1.55932,-4.88704,-4.17736,-0.987129,4.60583,1.17383,4.99334,2.53136,-0.635548,0.730648,-1.08084,1,0,-2.92822,1.55932
-9241.86,0.979655,0.0900907,6,63,0,-4.91735,-1.30374,-0.836129,4.77715,-0.0784095,4.86688,1.96244,-1.17752,0.578592,-0.926407,-3.24905,1.03557,-4.91735,-1.30374,-0.836129,4.77715,-0.0784095,4.86688,1.96244,-1.17752,0.578592,-0.926407,1,0,-3.24905,1.03557
